Date/Time (AEST),Hs (m),Hmax (m),Tz (s),Tp (s),Peak Direction (degrees),SST (degrees C)
2022-01-03T16:30,1.372,2.57,6.332,9.711,87,25.25
2022-01-03T17:00,1.553,2.29,7.278,10.372,90,25.25
2022-01-03T17:30,1.351,2.53,7.032,10.338,101,25.25
2022-01-03T18:00,1.437,2.46,7.537,9.838,102,25.3
2022-01-03T18:30,1.606,2.56,7.934,12.071,102,25.3
2022-01-03T19:00,1.418,2.62,6.968,9.87,88,25.3
2022-01-03T19:30,1.456,2.67,7.258,11.997,101,25.3
2022-01-03T20:00,1.383,2.18,6.705,9.754,85,25.15
2022-01-03T20:30,1.319,2.37,6.605,10.473,98,25
2022-01-03T21:00,1.522,2.53,6.791,11.636,80,25
2022-01-03T21:30,1.415,2.1,6.223,10.798,88,25
2022-01-03T22:00,1.503,3.07,6.29,11.458,92,25.05
2022-01-03T22:30,1.57,2.43,6.387,11.779,85,25.05
2022-01-03T23:00,1.497,2.25,5.983,12.01,91,25.1
2022-01-03T23:30,1.394,2.35,5.21,10.504,92,25.05
2022-01-04T00:00,1.515,2.73,5.536,11.061,85,25.1
2022-01-04T00:30,1.558,2.76,5.697,10.733,87,25.1
2022-01-04T01:00,1.317,2.11,5.21,11.001,95,25.05
2022-01-04T01:30,1.422,2.49,5.46,10.327,94,25.15
2022-01-04T02:00,1.378,2.14,5.456,10.896,92,25.15
2022-01-04T02:30,1.375,2.714,5.6,11.381,91,25.15
2022-01-04T03:00,1.33,2.13,5.753,10.841,95,25.1
2022-01-04T03:30,1.243,1.84,5.858,10.663,94,25.1
2022-01-04T04:00,1.145,2.07,5.938,11.234,85,25.1
2022-01-04T04:30,1.127,2.02,6.061,10.734,94,25.1
2022-01-04T05:00,1.069,1.74,6.25,10.802,99,25.1
2022-01-04T05:30,1.253,2.1,6.57,10.627,88,25.05
2022-01-04T06:00,1.175,2.12,6.596,10.399,95,24.95
2022-01-04T06:30,1.065,1.63,6.43,10.296,97,25
2022-01-04T07:00,1.123,1.61,6.879,10.643,99,25.1
2022-01-04T07:30,1.043,2,5.776,9.49,104,25.15
2022-01-04T08:00,1.048,1.97,5.856,10.753,95,25.15
2022-01-04T08:30,1.047,1.95,5.572,9.813,104,24.9
2022-01-04T09:00,1.03,1.81,5.743,10.307,91,24.9
2022-01-04T09:30,1.055,1.86,5.905,10.004,90,25
2022-01-04T10:00,1.041,2.16,5.292,10.228,90,25
2022-01-04T10:30,1.088,1.89,5.517,9.843,92,25
2022-01-04T11:00,1.116,1.79,5.367,10.248,83,25.05
2022-01-04T11:30,1.074,1.84,5.222,9.875,84,25.05
2022-01-04T12:00,1.031,1.94,5.091,10.271,90,25.1
2022-01-04T12:30,1.145,1.99,5.509,9.805,91,25.1
2022-01-04T13:00,1.102,1.67,5.911,9.569,85,25.15
2022-01-04T13:30,1.177,2.08,5.642,9.736,92,25.3
2022-01-04T14:00,1.152,1.86,5.681,9.777,87,25.2
2022-01-04T14:30,1.167,2.04,6.229,10.142,91,25.25
2022-01-04T15:00,0.947,1.58,5.002,9.207,92,25.2
2022-01-04T15:30,1.085,1.95,5.346,10.19,88,25.15
2022-01-04T16:00,0.97,2.02,5.497,10.389,88,25.15
2022-01-04T16:30,0.97,1.53,5.333,10.119,83,25.2
2022-01-04T17:00,1.11,2.12,5.602,10.263,84,25.15
2022-01-04T17:30,1.094,1.84,4.997,10.171,88,25.1
2022-01-04T18:00,1.124,2.33,4.902,9.391,88,25.1
2022-01-04T18:30,1.174,2.047,4.967,10.712,98,25.1
2022-01-04T19:00,1.226,1.89,5.536,10.346,95,25.1
